season,round,driverId,position,points,wins,points_after_race,wins_after_race,position_after_race
2006,1,alonso,1,10.0,1,,,
2006,1,michael_schumacher,2,8.0,0,,,
2006,1,raikkonen,3,6.0,0,,,
2006,1,button,4,5.0,0,,,
2006,1,montoya,5,4.0,0,,,
2006,1,webber,6,3.0,0,,,
2006,1,rosberg,7,2.0,0,,,
2006,1,klien,8,1.0,0,,,
2006,1,massa,9,0.0,0,,,
2006,1,coulthard,10,0.0,0,,,
2006,1,liuzzi,11,0.0,0,,,
2006,1,heidfeld,12,0.0,0,,,
2006,1,speed,13,0.0,0,,,
2006,1,ralf_schumacher,14,0.0,0,,,
2006,1,barrichello,15,0.0,0,,,
2006,1,trulli,16,0.0,0,,,
2006,1,monteiro,17,0.0,0,,,
2006,1,sato,18,0.0,0,,,
2006,2,alonso,1,18.0,1,10.0,1.0,1.0
2006,2,michael_schumacher,2,11.0,0,8.0,0.0,2.0
2006,2,button,3,11.0,0,5.0,0.0,4.0
2006,2,fisichella,4,10.0,1,,,
2006,2,montoya,5,9.0,0,4.0,0.0,5.0
2006,2,raikkonen,6,6.0,0,6.0,0.0,3.0
2006,2,massa,7,4.0,0,0.0,0.0,9.0
2006,2,webber,8,3.0,0,3.0,0.0,6.0
2006,2,rosberg,9,2.0,0,2.0,0.0,7.0
2006,2,villeneuve,10,2.0,0,,,
2006,2,ralf_schumacher,11,1.0,0,0.0,0.0,14.0
2006,2,klien,12,1.0,0,1.0,0.0,8.0
2006,2,trulli,13,0.0,0,0.0,0.0,16.0
2006,2,barrichello,14,0.0,0,0.0,0.0,15.0
2006,2,coulthard,15,0.0,0,0.0,0.0,10.0
2006,2,liuzzi,16,0.0,0,0.0,0.0,11.0
2006,2,albers,17,0.0,0,,,
2006,2,heidfeld,18,0.0,0,0.0,0.0,12.0
2006,2,monteiro,19,0.0,0,0.0,0.0,17.0
2006,2,speed,20,0.0,0,0.0,0.0,13.0
2006,2,sato,21,0.0,0,0.0,0.0,18.0
2006,3,alonso,1,28.0,2,18.0,1.0,1.0
2006,3,fisichella,2,14.0,1,10.0,1.0,4.0
2006,3,raikkonen,3,14.0,0,6.0,0.0,6.0
2006,3,michael_schumacher,4,11.0,0,11.0,0.0,2.0
2006,3,button,5,11.0,0,11.0,0.0,3.0
2006,3,montoya,6,9.0,0,9.0,0.0,5.0
2006,3,ralf_schumacher,7,7.0,0,1.0,0.0,11.0
2006,3,heidfeld,8,5.0,0,0.0,0.0,18.0
2006,3,villeneuve,9,5.0,0,2.0,0.0,10.0
2006,3,massa,10,4.0,0,4.0,0.0,7.0
2006,3,webber,11,3.0,0,3.0,0.0,8.0
2006,3,barrichello,12,2.0,0,0.0,0.0,14.0
2006,3,rosberg,13,2.0,0,2.0,0.0,9.0
2006,3,coulthard,14,1.0,0,0.0,0.0,15.0
2006,3,klien,15,1.0,0,1.0,0.0,12.0
2006,3,speed,16,0.0,0,0.0,0.0,20.0
2006,3,trulli,17,0.0,0,0.0,0.0,13.0
2006,3,liuzzi,18,0.0,0,0.0,0.0,16.0
2006,3,albers,19,0.0,0,0.0,0.0,17.0
2006,3,sato,20,0.0,0,0.0,0.0,21.0
2006,3,monteiro,21,0.0,0,0.0,0.0,19.0
2006,3,ide,22,0.0,0,,,
2006,4,alonso,1,36.0,2,28.0,2.0,1.0
2006,4,michael_schumacher,2,21.0,1,11.0,0.0,4.0
