season,round,raceName,circuitId,circuitName,lat,long,country,date,driverId,givenName,familyName,dateOfBirth,nationalityDriver,constructorId,nameConstructor,nationalityConstructor,position,points,grid,laps,status,millisRace,rankFastestLap,lapFastestLap,timeFastestLap,unitsAverageSpeed,speedAverageSpeed,positionDrivers,pointsDrivers,winsDrivers,positionConstructors,pointsConstructors,winsConstructors,driver,constructor,q1,q2,q3
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,2006-03-12,alonso,Fernando,Alonso,1981-07-29,Spanish,renault,Renault,French,1,10.0,4,57,Finished,5386205.0,3.0,21.0,1:32.534,kph,210.551,1.0,10.0,1.0,1.0,10.0,1.0,Fernando Alonso,Renault,1:32.433,1:31.215,1:31.702
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,2006-03-12,michael_schumacher,Michael,Schumacher,1969-01-03,German,ferrari,Ferrari,Italian,2,8.0,1,57,Finished,5387451.0,2.0,38.0,1:32.523,kph,210.576,2.0,8.0,0.0,3.0,8.0,0.0,Michael Schumacher,Ferrari,1:33.310,1:32.025,1:31.431
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,2006-03-12,raikkonen,Kimi,Räikkönen,1979-10-17,Finnish,mclaren,McLaren,British,3,6.0,22,57,Finished,5405565.0,8.0,29.0,1:32.864,kph,209.803,3.0,6.0,0.0,2.0,10.0,0.0,Kimi Räikkönen,McLaren,,,
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,2006-03-12,button,Jenson,Button,1980-01-19,British,honda,Honda,Japanese,4,5.0,3,57,Finished,5406197.0,5.0,39.0,1:32.729,kph,210.109,4.0,5.0,0.0,4.0,5.0,0.0,Jenson Button,Honda,1:32.603,1:32.025,1:31.549
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,2006-03-12,montoya,Juan,Pablo Montoya,1975-09-20,Colombian,mclaren,McLaren,British,5,4.0,5,57,Finished,5423253.0,7.0,21.0,1:32.771,kph,210.013,5.0,4.0,0.0,2.0,10.0,0.0,Juan Pablo Montoya,McLaren,1:33.233,1:31.487,1:32.164
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,2006-03-12,webber,Mark,Webber,1976-08-27,Australian,williams,Williams,British,6,3.0,7,57,Finished,5428137.0,4.0,25.0,1:32.660,kph,210.265,6.0,3.0,0.0,5.0,5.0,0.0,Mark Webber,Williams,1:33.454,1:32.309,1:33.006
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,2006-03-12,rosberg,Nico,Rosberg,1985-06-27,German,williams,Williams,British,7,2.0,12,57,Finished,5449248.0,1.0,42.0,1:32.408,kph,210.838,7.0,2.0,0.0,5.0,5.0,0.0,Nico Rosberg,Williams,1:32.945,1:32.620,
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,2006-03-12,klien,Christian,Klien,1983-02-07,Austrian,red_bull,Red Bull,Austrian,8,1.0,8,57,Finished,5452976.0,10.0,40.0,1:33.212,kph,209.02,8.0,1.0,0.0,6.0,1.0,0.0,Christian Klien,Red Bull,1:34.308,1:32.106,1:33.112
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,2006-03-12,massa,Felipe,Massa,1981-04-25,Brazilian,ferrari,Ferrari,Italian,9,0.0,2,57,Finished,5456112.0,6.0,28.0,1:32.739,kph,210.086,9.0,0.0,0.0,3.0,8.0,0.0,Felipe Massa,Ferrari,1:33.579,1:32.014,1:31.478
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,2006-03-12,coulthard,David,Coulthard,1971-03-27,British,red_bull,Red Bull,Austrian,10,0.0,13,57,Finished,5461746.0,11.0,26.0,1:33.376,kph,208.653,10.0,0.0,0.0,6.0,1.0,0.0,David Coulthard,Red Bull,1:33.678,1:32.850,
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,2006-03-12,liuzzi,Vitantonio,Liuzzi,1980-08-06,Italian,toro_rosso,Toro Rosso,Italian,11,0.0,15,57,Finished,5472202.0,12.0,26.0,1:33.480,kph,208.421,11.0,0.0,0.0,7.0,0.0,0.0,Vitantonio Liuzzi,Toro Rosso,1:34.439,1:33.416,
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,2006-03-12,heidfeld,Nick,Heidfeld,1977-05-10,German,bmw_sauber,BMW Sauber,German,12,0.0,10,56,+1 Lap,,14.0,26.0,1:33.772,kph,207.772,12.0,0.0,0.0,8.0,0.0,0.0,Nick Heidfeld,BMW Sauber,1:33.374,1:31.958,1:33.926
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,2006-03-12,speed,Scott,Speed,1983-01-24,American,toro_rosso,Toro Rosso,Italian,13,0.0,16,56,+1 Lap,,9.0,45.0,1:33.108,kph,209.253,13.0,0.0,0.0,7.0,0.0,0.0,Scott Speed,Toro Rosso,1:33.995,1:34.606,
